Bölüm,Universite Kacinci Sinif,Universite Not Ortalamasi,Daha Once Baska Bir Universiteden Mezun Olmus,"Daha Önceden Mezun Olunduysa, Mezun Olunan Üniversite"
bilgisayar muhendisligi,4,3.00 - 3.50,evet,
bilgisayar muhendisligi,3,3.00 - 3.50,hayir,
bilisim sistemleri muhendisligi,mezun,3.00 - 3.50,hayir,
yazilim muhendisligi,4,2.50 - 3.00,hayir,
endustri muhendisligi,2,,hayir,
computer science engineering,3,2.50 - 3.00,hayir,
halkla iliskiler,4,3.00 - 3.50,hayir,
elektronik ve haberlesme muhendisligi,2,0.00 - 2.50,hayir,
hukuk,1,,hayir,
endustri muhendisligi,4,2.50 - 3.00,hayir,
mimarlik,hazirlik,,hayir,
turizm ve otel iletmeciligi,2,3.00 - 3.50,hayir,
isletme,2,3.00 - 3.50,hayir,
kontrol ve otomasyon muhendisligi,4,3.00 - 3.50,hayir,
elektrik elektronik muhendisligi,3,3.00 - 3.50,hayir,
gazetecilik,2,3.00 - 4.00,hayir,
makine muhendisligi,3,3.00 - 3.50,hayir,
hukuk,2,2.50 - 3.00,hayir,
isletme,2,0.00 - 2.50,hayir,
isletme,1,,hayir,
saglik yonetimi / psikoloji cift anadal,3,3.00 - 3.50,hayir,
matematik / iktisat cift anadal,3,3.00 - 3.50,hayir,
siyaset bilimi ve uluslararasi iliskiler,1,,hayir,
bilgisayar muhendisligi,4,2.50 - 3.00,hayir,
endustri muhendisligi,4,3.00 - 3.50,hayir,
ic mimarlik ve cevre tasarimi,2,2.50 - 3.00,hayir,
hukuk fakultesi,1,,hayir,
uluslararasi finans,3,2.50 - 3.00,hayir,
bilgisayar muhendisligi ingilizce,4,2.50 - 3.00,hayir,
endustri muhendisligi,2,2.50 - 3.00,hayir,
mimarlik bolumu,3,3.00 - 4.00,hayir,
halkla iliskiler ve reklamcilik,1,,hayir,
uluslararasi ticaret,2,2.50 - 3.00,hayir,
isletme ingilizce,4,0.00 - 2.50,hayir,
endustri muhendisligi,3,3.00 - 3.50,hayir,
ingilizce isletme,3,2.50 - 3.00,hayir,
iktisatingilizce,2,3.00 - 3.50,hayir,
fizyoterapi ve rehabilitasyon,1,,hayir,
kamu yonetimi,4,2.50 - 3.00,hayir,
gida muhendisligi,4,3.00 - 4.00,hayir,
ingilizce matematik,1,,hayir,
elektrik ve elektronik muendisligi,3,2.50 - 3.00,hayir,
iktisat,3,3.00 - 3.50,hayir,
isletme,3,2.50 - 3.00,evet,
ingiliz dili ve edebiyati,3,2.50 - 3.00,hayir,
ingilizce uluslararasi iliskiler,2,2.50 - 3.00,hayir,
isletme ingilizce,4,3.00 - 3.50,hayir,
halkla iliskiler ve tanitim,3,3.00 - 4.00,hayir,
sosyal hizmet,2,3.00 - 3.50,hayir,
siyaset bilimi ve uluslar arasi iliskiler,hazirlik,,hayir,
molekuler biyoloji ve genetik,1,3.00 - 3.50,hayir,
tip fakultesi,1,,hayir,
gida muhendisligi,1,,hayir,
bilgisayar programciligi,2,2.50 - 3.00,hayir,
mimarlik ingilizce,3,3.00 - 3.50,hayir,
elektrik ve elektronik muhendisligi,4,3.00 - 3.50,hayir,
yonetim bilimleri,1,,hayir,
"otel yoneticiligi lisans ingilizce / hotel management, %100 burslu",hazirlik,,hayir,
tip,2,3.00 - 3.50,hayir,
bilgisayar muhendisligi,4,3.00 - 4.00,hayir,
muhasebe bilgi sistemler,3,3.00 - 3.50,hayir,
lojistik yonetimi,2,3.00 - 4.00,hayir,
elektrik elektronik,3,0.00 - 2.50,hayir,
isletme bolumu ingilizce,2,2.50 - 3.00,hayir,
biyomedikal muhendisligi,3,2.50 - 3.00,hayir,
kimya muhendisligi,4,3.00 - 3.50,hayir,
endustri muhendisligi,2,2.50 - 3.00,hayir,
"matematik-bilgisayar, yazilim muhendisligicift anadal",3,3.00 - 4.00,hayir,
bilgisayar muhendisligi,3,0.00 - 2.50,hayir,
maliye,3,,hayir,
endustri muhendisligi,4,3.00 - 4.00,hayir,
girisimcilik,hazirlik,,hayir,
halkla iliskiler - reklamcilik,4,3.00 - 4.00,hayir,
ingilizce ekonomi,2,3.00 - 3.50,hayir,
ic mimarlik ve cevre tasarimi,1,3.00 - 4.00,hayir,
bilgisayar muhendisligi,3,3.00 - 4.00,hayir,
dis ticaret,mezun,2.50 - 3.00,hayir,
bankacilik ve finans,3,3.00 - 3.50,hayir,
tip fakultesi,2,3.00 - 3.50,hayir,
saglik yonetimi,3,3.00 - 3.50,hayir,
isletme bilgi yonetimi,3,3.00 - 4.00,hayir,
elektrik - elektronik muhendisligi,3,2.50 - 3.00,hayir,
uluslararasi ticaret ve isletmecilik,2,2.50 - 3.00,hayir,
sigortacilik ve risk yonetimi,2,0.00 - 2.50,hayir,
elektrik ve elektronik muhendisligi,2,3.00 - 3.50,hayir,
edebiyat,3,,hayir,
uluslararasi girisimcilik,3,2.50 - 3.00,hayir,
mekatronik muhendisligi,1,,hayir,
bilisim sistemleri muhendisligi,2,2.50 - 3.00,hayir,
undecleared,2,0.00 - 2.50,hayir,
mekatronik muhendisligi,2,3.00 - 4.00,hayir,
hukuk,2,,hayir,
bilgisayar muhendisligi,4,0.00 - 2.50,hayir,
makina muhendisligi,2,3.00 - 4.00,hayir,
yazilim muhendisligi,4,3.00 - 3.50,evet,
hukuk,3,3.00 - 4.00,hayir,
endustri muhendisligi,4,0.00 - 2.50,hayir,
kimya muhendisligi,4,2.50 - 3.00,hayir,
isletme,4,0.00 - 2.50,hayir,
yazilim muhendisligi,4,0.00 - 2.50,hayir,
hemsirelik,1,2.50 - 3.00,hayir,
bilgisayar muhendisligi,mezun,0.00 - 2.50,hayir,
makine muhendisligi %100 ingilizce,4,3.00 - 4.00,hayir,
tip fakultesi,3,2.50 - 3.00,hayir,
kamu yonetimi / siyaset bilimi ve uluslararasi iliskiler/ gazetecilik,4,3.00 - 4.00,evet,
turizm ve otel isletmeciligi,2,3.00 - 3.50,hayir,
uluslararasi ticaret ve lojistik,3,3.00 - 3.50,hayir,
endustri muhendisligi,2,3.00 - 4.00,hayir,
bilgisayar muhendisligi,4,0.00 - 2.50,hayir,
uluslararasi iliskiler,2,3.00 - 4.00,hayir,
hukuk,2,3.00 - 4.00,hayir,
hukuk,2,3.00 - 4.00,hayir,
endustri muhendisligi,4,3.00 - 4.00,hayir,
tip,4,3.00 - 4.00,hayir,
hukuk,3,2.50 - 3.00,hayir,
matematik,3,2.50 - 3.00,hayir,
bilgisayar muhendisligi,4,2.50 - 3.00,hayir,
isletme,2,3.00 - 4.00,hayir,
isletme / endustri muhendisligi cap,4,3.00 - 3.50,hayir,
endustri muhendisligi,3,2.50 - 3.00,hayir,
siyaset bilimi ve kamu yonetimi%100 yok burslu-%100 ingilizce,1,3.00 - 4.00,hayir,
endustri muhendisligi,2,0.00 - 2.50,hayir,
iktisatingilizce ve hukukcap / istanbul universitesi sosyoloji acik ve uzaktan egitim fakultesi,4,3.00 - 3.50,hayir,
endustri muhendisligi,4,0.00 - 2.50,hayir,
biyomedikal muhendisligi,2,2.50 - 3.00,hayir,
isletme anadal bolumu 4. sinif - endustri muhendisligi cift anadal bolumu 3. sinif,4,3.00 - 4.00,hayir,
endustri muhendisligi,2,3.00 - 4.00,hayir,
isletme,3,3.00 - 4.00,hayir,
endustri muhendisligi,3,3.00 - 4.00,hayir,
halkla iliskiler ve reklamcilik,2,2.50 - 3.00,hayir,
endustri muhendisligi,2,3.00 - 4.00,hayir,
hukuk fakultesi,4,2.50 - 3.00,hayir,
elektrik-elektronik muhendisligi,3,2.50 - 3.00,hayir,
isletme,4,3.00 - 3.50,hayir,
yonetim bilimleri programlari,4,3.00 - 4.00,hayir,
uluslararasi isletmecilik ve ticaret,2,3.00 - 4.00,hayir,
bilgisayar muhendisligi,2,3.00 - 4.00,hayir,
yonetim bilisim sistemleri mis,1,,hayir,
business administration,2,3.00 - 4.00,hayir,
yonetim bilimleri programi,1,3.00 - 3.50,hayir,
isletme,3,3.00 - 3.50,hayir,
insaat muhendisligi,2,3.00 - 4.00,hayir,
business administration,2,3.00 - 4.00,hayir,
"psikoloji, saglik yonetimi",4,3.00 - 3.50,hayir,
psikoloji,3,3.00 - 3.50,hayir,
hukuk,4,3.00 - 3.50,hayir,
elektrik-elektronik muhendisligi,1,3.00 - 3.50,hayir,
cevre muhendisligi ingilizce,3,3.00 - 3.50,hayir,
isletme - uluslararasi ticaret ve lojistik yonetimi cap,4,3.00 - 4.00,hayir,
uluslararasi ticaret ve finansman,2,3.00 - 3.50,hayir,
ekonomi,2,3.00 - 3.50,hayir,
endustri muhendisligi,2,3.00 - 3.50,hayir,
isletmeingilizce,2,3.00 - 3.50,hayir,
tip fakultesi,3,3.00 - 3.50,hayir,
bilgisayar muhendisligi,3,3.00 - 3.50,hayir,
endustri ve sistem muhendisligi,4,2.50 - 3.00,hayir,
isletme %100 ing.,4,3.00 - 3.50,hayir,
hukuk fakultesi,2,3.00 - 3.50,hayir,
ekonomi,2,3.00 - 4.00,hayir,
ekonomi,2,0.00 - 2.50,hayir,
yonetim bilimleri,2,3.00 - 3.50,hayir,
hukuk,3,3.00 - 3.50,hayir,
psikoloji,3,3.00 - 3.50,hayir,
hemsirelik,3,2.50 - 3.00,hayir,
elektrik ve elektronik muhendisligi ingilizce,1,3.00 - 4.00,hayir,
tarih,3,0.00 - 2.50,hayir,
beslenme ve diyetetik,1,,hayir,
tip,2,2.50 - 3.00,hayir,
insaat muhendisligi,4,3.00 - 4.00,hayir,
gorsel iletisim tasarimi,3,3.00 - 4.00,hayir,
endustri muhendisligi,1,2.50 - 3.00,hayir,
bilgisayar muhendisligi,3,2.50 - 3.00,hayir,
uluslararasi ticaret,1,,hayir,
tarih,4,0.00 - 2.50,hayir,
hukuk,1,3.00 - 3.50,hayir,
istatistik,4,3.00 - 3.50,hayir,
ekonomi ve finans / siyasal bilimler ciftanadal,2,3.00 - 4.00,hayir,
isletme,3,3.00 - 3.50,hayir,
girisimcilik,2,2.50 - 3.00,hayir,
hemsirelik,4,3.00 - 3.50,hayir,
sanat tasarim fakultesi / tekstil ve moda tasarimi,2,2.50 - 3.00,hayir,
isletme muhendisligi,1,3.00 - 3.50,hayir,
istatistik,3,3.00 - 3.50,hayir,
mimarlik,4,3.00 - 3.50,hayir,
hukuk,2,2.50 - 3.00,hayir,
endustri muhendisligi,4,2.50 - 3.00,hayir,
endustri muhendisligi,4,2.50 - 3.00,hayir,
muhendislik ve doga bilimleri,1,3.00 - 4.00,hayir,
endustri muhendisligi,3,2.50 - 3.00,hayir,
mimarlik ing,2,3.00 - 3.50,hayir,
psikoloji,2,3.00 - 3.50,hayir,
"kimya-biyoloji muhendisligi, endustri muhendisligi cift anadal",4,2.50 - 3.00,hayir,
malzeme bilimi ve muhendisligi,1,2.50 - 3.00,hayir,
uluslararasi girisimcilik,2,2.50 - 3.00,hayir,
elektrik - elektronik muhendisligi,3,2.50 - 3.00,hayir,
uluslararasi ticaret ve finansman,4,3.00 - 4.00,hayir,
ingilizce isletme,1,0.00 - 2.50,hayir,
endustri muhendisligi,4,3.00 - 4.00,hayir,
bilgisayar muhendisligi,1,,hayir,
uluslararasi iliskiler,2,3.00 - 4.00,hayir,
muhasebe bilgi sistemleri/accounting information systems,4,2.50 - 3.00,hayir,
isletme,2,3.00 - 3.50,hayir,
endustri muhendisligi,2,2.50 - 3.00,hayir,
endustri muhendisligi,3,0.00 - 2.50,hayir,
psikoloji,1,,hayir,
bilgisayar muhendisligi,4,3.00 - 4.00,hayir,
psikoloji,4,3.00 - 4.00,hayir,
cocuk gelisimi,2,2.50 - 3.00,hayir,
endustri muhendisligi,2,0.00 - 2.50,hayir,
-,1,,hayir,
endustri muhendisligi,1,,hayir,
ceviribilim,3,3.00 - 4.00,hayir,
moda tasarim,4,2.50 - 3.00,hayir,
makine muhendisligi,3,0.00 - 2.50,hayir,
uluslararasi ticaret ve lojistik,3,2.50 - 3.00,hayir,
uluslararasi iliskiler ingilizce - siyaset bilimi ve kamu yonetimi yandal,2,3.00 - 4.00,hayir,
psikoloji/insan ve toplum bilimleri,4,3.00 - 4.00,hayir,
endustri muhendisligi,3,2.50 - 3.00,hayir,
siyaset bilimi ve uluslararasi iliskiler,1,,hayir,
ingilizce isletme,2,,hayir,
psikoloji,4,3.00 - 4.00,hayir,
mimarlik,2,3.00 - 4.00,hayir,
tip fakultesi,4,3.00 - 4.00,hayir,
endustri muhendisligi,2,3.00 - 3.50,hayir,
endustri muhendisligi,1,,hayir,
reklam tasarimi ve iletisim,1,3.00 - 4.00,hayir,
uluslararasi iliskiler- iktisatcift anadal,4,3.00 - 3.50,hayir,
bilgisayar muhendisligi,3,3.00 - 3.50,hayir,
isletmehukuk,4,3.00 - 4.00,hayir,
bilgisayar muhendisligi,2,0.00 - 2.50,hayir,
uluslararasi ticaret ve finansman / uluslararasi lojistik yonetimi cift anadal,3,3.00 - 4.00,hayir,
uluslararasi iliskiler,1,3.00 - 4.00,hayir,
sivil hava ulastirma isletmeciligi,1,3.00 - 4.00,hayir,
isletme,2,0.00 - 2.50,hayir,
endustri muhendisligi,3,3.00 - 3.50,hayir,
endustri muhendisligi-ingilizce %75 burslu,2,0.00 - 2.50,hayir,
"bilgisayar muhendisligini bitirdim, ciftdalim olan elektrik elektronik muhendisligi okuyorum",4,3.00 - 3.50,evet,
ekonomi,2,3.00 - 4.00,hayir,
rehberlik ve psikolojik danismanlik,1,3.00 - 4.00,hayir,
isletme,3,3.00 - 3.50,hayir,
endustri muhendisligi,4,0.00 - 2.50,hayir,
yazilim muhendisligi,3,3.00 - 3.50,hayir,
ingilizce isletme,4,3.00 - 3.50,hayir,
sosyoloji ekonomi cift anadal,3,3.00 - 3.50,hayir,
lojistik yonetimi,4,3.00 - 3.50,hayir,
psikoloji ingilizce,4,3.00 - 3.50,hayir,
endustri muhendisligi,1,3.00 - 3.50,hayir,
isletme ekonomi ile cift ana dal,3,3.00 - 3.50,hayir,
uluslararasi finans,4,3.00 - 3.50,hayir,
hukuk,4,3.00 - 3.50,hayir,
endustri muhendisligi,3,3.00 - 3.50,hayir,
isletme,3,3.00 - 3.50,hayir,
isletme,2,2.50 - 3.00,hayir,
endustri muhendisligi,2,2.50 - 3.00,hayir,
insaat muhendisligi,2,3.00 - 3.50,hayir,
bilgisayar muhendisligi,1,0.00 - 2.50,hayir,
bilgisayar bilimi,2,3.00 - 4.00,hayir,
ergoterapi,3,3.00 - 3.50,hayir,
endustri muhendisligi,3,3.00 - 3.50,hayir,
endustri muhendisligi,4,2.50 - 3.00,hayir,
technology and knowledge management,3,2.50 - 3.00,hayir,
ekonomi %30 ing,4,3.00 - 3.50,evet,
endustri muhendisligi,1,,hayir,
uluslararasi iliskiler,3,3.00 - 4.00,hayir,
elektrik ve elektronik muhendisligi,3,2.50 - 3.00,hayir,
uluslararasi iliskiler,4,3.00 - 4.00,hayir,
elektrik-elektronik muhendisligi,2,3.00 - 4.00,hayir,
kontrol ve otomasyon muhendisligi,3,,hayir,
enerji sistemleri muhendisligi-endustri muhendisligicift anadal,3,3.00 - 4.00,hayir,
mekatronik muhendisligi,3,2.50 - 3.00,hayir,
matematik muhendisligi - matematik,5,0.00 - 2.50,hayir,
bilgisayar muhendisligi,3,3.00 - 4.00,hayir,
uluslararasi iliskiler - iktisat cift anadal,4,3.00 - 4.00,hayir,
gorsel iletisim tasarimi,3,2.50 - 3.00,hayir,
ekonomi ve finans,4,3.00 - 4.00,evet,
yazilim muhendisligi,hazirlik,,hayir,
isletme,2,3.00 - 3.50,hayir,
"uluslararasi ticaret, tam burslu",4,2.50 - 3.00,hayir,
elektrik-elektronik muhendisligi,4,3.00 - 3.50,hayir,
uluslararasi ticaret,2,2.50 - 3.00,hayir,
biyomedikal muhendisligi,hazirlik,3.00 - 4.00,hayir,
makina muhendisligi,2,3.00 - 3.50,hayir,
radyo ve televizyon ingilizce,1,3.00 - 4.00,hayir,
uluslararasi iliskiler ve avrupa birligi,3,2.50 - 3.00,hayir,
hukuk,3,3.00 - 3.50,hayir,
endustri muhendisligi,2,3.00 - 4.00,hayir,
elektrik elektronik muhendisligi,1,2.50 - 3.00,hayir,
uluslararasi iliskiler,4,,hayir,
endustri muhendisligi,3,0.00 - 2.50,hayir,
uzay muhendisligi,3,0.00 - 2.50,hayir,
halkla iliskiler,4,3.00 - 4.00,hayir,
endustri muhendisligi,3,3.00 - 3.50,hayir,
yazilim muhendisligi,3,0.00 - 2.50,hayir,
elektrik elektronik muh,3,0.00 - 2.50,hayir,
matematik,4,0.00 - 2.50,hayir,
turizm ve otel isletmeciligi,2,2.50 - 3.00,hayir,
uluslararasi ticaret,1,3.00 - 3.50,hayir,
isletme,2,0.00 - 2.50,hayir,
hukuk,2,0.00 - 2.50,hayir,
management yonetim bilimleri,3,0.00 - 2.50,hayir,
halkla iliskiler ve reklamcilik,3,3.00 - 3.50,hayir,
tip,6,3.00 - 3.50,hayir,
endustri muhendisligi,3,0.00 - 2.50,hayir,
isletme,4,0.00 - 2.50,hayir,
endustri muhendisligi,2,2.50 - 3.00,hayir,
elektrik-elektronik muhendisligi ve ekonomi cift anadal ogrencisi,4,3.00 - 4.00,hayir,
biyomedikal muhendisligi,4,0.00 - 2.50,hayir,
endustri muhendisligi,2,3.00 - 3.50,hayir,
marka iletisimi,1,3.00 - 3.50,evet,
matemataik - ekonomi,3,2.50 - 3.00,hayir,
mimarlik,2,3.00 - 3.50,hayir,
isletme,1,3.00 - 4.00,hayir,
elektrik elektronik muhendisligi,1,0.00 - 2.50,hayir,
ekonomi,3,3.00 - 3.50,hayir,
molekuler biyoloji ve genetik,4,2.50 - 3.00,hayir,
yonetim bilimleri,3,2.50 - 3.00,hayir,
endustri muhendisligitam burslu,1,,hayir,
hukuk,1,,hayir,
uluslararasi ticaret ve isletmecilik,,2.50 - 3.00,hayir,
endustri muhendisligi,4,3.00 - 4.00,hayir,
antropoloji,4,2.50 - 3.00,hayir,
international trade and business,1,2.50 - 3.00,hayir,
kimya,3,2.50 - 3.00,hayir,
radyo televizyon sinema,1,,hayir,
matematik,2,3.00 - 4.00,hayir,
halkla iliskiler ve tanitim,2,3.00 - 3.50,hayir,
isletme,2,3.00 - 3.50,hayir,
iktisadi ve idari bilimler programciligi,hazirlik,,hayir,
hukuk,1,,hayir,
elektrik-elektronik muhendisligi,3,3.00 - 4.00,hayir,
isletme,2,3.00 - 4.00,hayir,
uluslararasi lojistik ve tasimacilik/cift anadal: uluslararasi ticaret ve isletmecilik,4,3.00 - 4.00,hayir,
tarih,1,,hayir,
bilgisayar muhendisligi ingilizce,3,3.00 - 4.00,hayir,
endustri muhendisligi,3,3.00 - 4.00,hayir,
mimarlik,2,3.00 - 4.00,hayir,
uluslararasi ticaret,2,3.00 - 4.00,hayir,
ekonomi,3,3.00 - 3.50,hayir,
uluslararasi iliskiler,2,3.00 - 4.00,hayir,
yonetim bilimleri fakultesi,2,0.00 - 2.50,hayir,
isletme ingilizce,1,3.00 - 4.00,hayir,
lojistik yonetimi || uluslararasi ticaret ve finansmancift anadal,4,3.00 - 3.50,hayir,
ingilizce isletme %100 burslu,1,3.00 - 4.00,hayir,
mimarlik,hazirlik,,hayir,
bilgisayar muhendisligi,4,2.50 - 3.00,hayir,
endustri muhendisligi,1,,hayir,
saglik kurumlari isletmeciligi,3,3.00 - 3.50,hayir,
isletme,2,3.00 - 3.50,hayir,
ingilizce tip,2,3.00 - 3.50,hayir,
matematik-bilgisayar,3,0.00 - 2.50,hayir,
gazetecilik,5,3.00 - 3.50,hayir,
uluslararasi ticaret ve isletmecilik,3,0.00 - 2.50,hayir,
isletme,3,2.50 - 3.00,hayir,
hukuk,3,3.00 - 4.00,hayir,
siyaset bilimi ve kamu yonetimi,2,,hayir,
molekuler biyoloji ve genetik,3,3.00 - 4.00,hayir,
endustri muhendisligi,1,,hayir,
psikolojiingilizce,1,,hayir,
hukuk,2,3.00 - 4.00,hayir,
siyaset bilimi ve kamu yonetimi,3,0.00 - 2.50,hayir,
elektronik ve haberlesme muhendisligi tam burslu,4,3.00 - 3.50,hayir,
siyaset bilimi ve kamu yonetimi,1,3.00 - 3.50,hayir,
elektrik elektronik muhendisligi%100 ingilizce,4,3.00 - 3.50,hayir,
sosyoloji,2,3.00 - 3.50,hayir,
elektronik ve haberlesme muhendisligi,,3.00 - 3.50,hayir,
uluslararasi ticaret ve finans ingilizce,3,0.00 - 2.50,hayir,
genetics and bioengineering,2,3.00 - 3.50,hayir,
hukuk fakultesi,3,2.50 - 3.00,hayir,
psikoloji,3,3.00 - 3.50,hayir,
endustri muhendisligi,2,0.00 - 2.50,hayir,
ekonomi,1,,hayir,
endustri muhendisligi,hazirlik,3.00 - 4.00,hayir,
bilgisayar muhendisligi,3,2.50 - 3.00,hayir,
ergoterapi,3,3.00 - 3.50,hayir,
elektrik elektronik muhendisligi,3,3.00 - 3.50,hayir,
endustri muhendisligi,3,0.00 - 2.50,hayir,
yonetim bilisim sistemlerimis ing. tam burslu,1,,hayir,
hukuk fakultesi,3,2.50 - 3.00,hayir,
tarihingilizce,3,2.50 - 3.00,hayir,
fizik,4,2.50 - 3.00,hayir,
isletme,1,,hayir,
rehberlik ve psikolojik danismanlik,3,3.00 - 3.50,hayir,
anestezi,2,,hayir,
bankacilik ve finans,4,2.50 - 3.00,hayir,
makine muhendisligi,2,0.00 - 2.50,hayir,
uluslararasi ticaret ve isletmecilik,4,2.50 - 3.00,hayir,
eczacilik,hazirlik,,hayir,
endustri muhendisligi,3,2.50 - 3.00,hayir,
hukuk,2,2.50 - 3.00,hayir,
tip fakultesi,2,2.50 - 3.00,hayir,
bilgisayar muhendisligi,4,2.50 - 3.00,hayir,
biyomedikal muh.,1,,hayir,
ingilizce matematik,1,,hayir,
endustri muhendisligi,1,3.00 - 3.50,hayir,
isletme,2,2.50 - 3.00,hayir,
uluslararasi ticaret ve finans,3,2.50 - 3.00,hayir,
isletmeingilizce,1,,hayir,
makine muhendisligi,3,2.50 - 3.00,hayir,
endustri muhendisligi,1,,hayir,
girisimcilik,3,2.50 - 3.00,hayir,
hukuk fakultesi,3,2.50 - 3.00,hayir,
elektronik ve haberlesme muhendisligi,4,0.00 - 2.50,hayir,
ulastirma ve lojistik,hazirlik,,hayir,
peyzaj mimarligi cift anadal mimarlik,3,3.00 - 4.00,hayir,
bilgisayar muhendisligi,3,3.00 - 4.00,hayir,
hemsirelik,2,,hayir,
mimarlik,1,,hayir,
psikoloji,3,2.50 - 3.00,hayir,
insaat muhendisligi,3,2.50 - 3.00,hayir,
uluslararasi ticaret ve pazarlama%100 ingilizce ve tam burslu,2,3.00 - 3.50,hayir,
bilisim sistemleri ve teknolojileri,3,3.00 - 4.00,hayir,
muhendislik ve doga bilimleri fakultesi,1,,hayir,
endustri muhendisligi-uluslararasi ticaret,4,3.00 - 3.50,hayir,
isletme,2,2.50 - 3.00,hayir,
girisimcilik,2,0.00 - 2.50,hayir,
isletme-ekonomi,1,0.00 - 2.50,hayir,
enerji sistemleri muhendisligi,4,0.00 - 2.50,hayir,
iletisim tasarimi,1,,hayir,
isletme muhendisligi,3,0.00 - 2.50,hayir,
avrupa birligi iliskileri,1,,hayir,
uluslararasi finans,4,3.00 - 3.50,hayir,
hukuk,2,3.00 - 3.50,hayir,
uluslararasi lojistik ve tasimacilikingilizce,1,3.00 - 3.50,hayir,
sabanci universitesi,3,3.00 - 3.50,hayir,
hukuk,4,0.00 - 2.50,hayir,
isletme,3,3.00 - 3.50,hayir,
uluslararasi ticaret ve lojistik,3,3.00 - 3.50,hayir,
muhasebe ve denetim,4,3.00 - 3.50,hayir,
hukuk,5,2.50 - 3.00,hayir,
bilgisayar muhendisligi,4,,hayir,
elektronik ve haberlesme muhendisligi,4,0.00 - 2.50,hayir,
halkla iliskiler ve tanitim,2,2.50 - 3.00,hayir,
isletme,4,3.00 - 3.50,hayir,
mekatronik muhendisligi,3,0.00 - 2.50,hayir,
mimarlik,4,3.00 - 3.50,hayir,
lise ogrencisiyim,hazirlik,3.00 - 3.50,hayir,
uluslararasi ticaret ve isletmecilik,2,3.00 - 3.50,hayir,
bilgisayar muhendisligi,4,0.00 - 2.50,hayir,
isletme ingilice,3,3.00 - 3.50,evet,
isci sagligi ve guvenligi bolumu,3,3.00 - 3.50,hayir,
cocuk gelisimi,2,3.00 - 3.50,hayir,
ekonomi finans - uluslararasi iliskiler ikinci anadal,3,3.00 - 3.50,hayir,
beslenme ve diyetetik,2,3.00 - 3.50,hayir,
elektrik - elektronik muhendisligi,hazirlik,3.00 - 4.00,hayir,
uluslararasi ticaret ve isletmecilik,1,2.50 - 3.00,hayir,
endustri muhendisligi,3,3.00 - 4.00,hayir,
uluslararasi ticaret ve finans,2,2.50 - 3.00,hayir,
siyaset bilimi ve kamu yonetimi,3,3.00 - 4.00,hayir,
bilgisayar muhendisligi,3,3.00 - 4.00,hayir,
ingilizce isletme,4,3.00 - 4.00,hayir,
bilgisayar muhendisligi,1,3.00 - 4.00,hayir,
siyaset bilimi ve kamu yonetimi/sosyoloji cap,3,3.00 - 4.00,hayir,
tam burslu inglizce insaat muhendisligi,hazirlik,,hayir,
ingilizce ogretmenligi,2,3.00 - 4.00,hayir,
isletme,3,2.50 - 3.00,hayir,
girisimcilik,3,2.50 - 3.00,hayir,
hukuk,1,,hayir,
turk dili ve edebiyati,1,,evet,
endustri muhendisligi,3,0.00 - 2.50,hayir,
orman muhendisligi,4,2.50 - 3.00,hayir,
"radyo, televizyon ve sinema// sosyolojicift anadal",4,3.00 - 4.00,hayir,
isletme ingilizce,4,2.50 - 3.00,hayir,
isletme,2,0.00 - 2.50,hayir,
isletme,4,2.50 - 3.00,hayir,
psikoloji,2,3.00 - 3.50,hayir,
elektrik-elektronik muhendisligi,2,0.00 - 2.50,hayir,
hemsirelik,3,2.50 - 3.00,hayir,
isletme,3,2.50 - 3.00,evet,
iktisat,1,,hayir,
ascilik,1,2.50 - 3.00,hayir,
kontrol ve otomasyon muhendisligi,2,0.00 - 2.50,hayir,
isletmeingilizce,2,0.00 - 2.50,hayir,
isletme enformatigi,4,,hayir,
halkla iliskiler ve reklamcilik ingilizce,1,3.00 - 4.00,hayir,
elektrik ve elektronik muhendisligi,hazirlik,,hayir,
ekonomi,4,2.50 - 3.00,hayir,
biyomedikal muhendisligi ing,1,,hayir,
tip,2,,hayir,
"radyo, televizyon ve sinema / siyaset bilimi ve uluslararasi iliskiler",3,3.00 - 4.00,hayir,
beslenme ve diyetetik,2,3.00 - 3.50,hayir,
matematik,3,3.00 - 4.00,hayir,
matematik,1,,hayir,
elektrik elektronik muhendisligi,1,,hayir,
siyaset bilimi%100 ingilizce,2,3.00 - 4.00,hayir,
bilgisayar muhendisligi,1,3.00 - 4.00,hayir,
endustri ve sistem muhendisligi,1,,hayir,
elektrik elektronik muhendisligi,1,,hayir,
endustri muhendisligi,1,3.00 - 3.50,hayir,
endustri muhendisligi,1,,hayir,
isletme,4,3.00 - 3.50,hayir,
bilgisayar muhendisligi,3,0.00 - 2.50,hayir,
bilgisayar muhendisligi,1,3.00 - 3.50,hayir,
endustri muhendisligi,4,0.00 - 2.50,hayir,
endustri muhendisligi,4,0.00 - 2.50,hayir,
ingilizce isletme,4,0.00 - 2.50,hayir,
ingilizce mutercim tercumanlik,3,3.00 - 3.50,hayir,
bilgisayar muhendisligi,2,3.00 - 3.50,hayir,
muhasebe ve denetim,3,0.00 - 2.50,hayir,
kentsel tasarim ve peyzaj mimarligi,4,2.50 - 3.00,hayir,
gastronomi ve mutfak sanatlari,3,0.00 - 2.50,hayir,
rehberlik ve psikolojik danismanlik,2,3.00 - 4.00,hayir,
tip,2,3.00 - 3.50,hayir,
elektronik ve haberlesme muhendisligi,3,,hayir,
